1  0.000050  0.000015  0.000007  0.000006 
2  0.000040  0.000003  0.000001  0.000005 
4  -0.000004  0.000000  0.000002  0.000001 
8  -0.000004  0.000000  0.000000  0.000014 
16  0.000001  0.000000  0.000001  0.000002 
32  0.000000  0.000000  0.000001  0.000002 
64  0.000000  0.000000  0.000001  0.000015 
128  0.000002  0.000003  0.000001  0.000005 
256  0.000001  0.000000  0.000000  0.000001 
512  0.000001  0.000000  0.000001  0.000000 
1024  -0.000001  0.000000  0.000000  0.000001 
2048  0.000000  0.000000  0.000000  0.000001 
4096  0.000000  0.000000  0.000000  0.000001 
8192  0.0 0.000000  0.000000  0.000000 
16384  0.0 0.0 0.000000  0.000000 
32768  0.0 0.0 0.0 0.000000 
